id,season,episode,key,partners,mentions
222,10,4,Rachel & Joey,Rachel & Joey,2
222,10,4,Monica & Chandler,Monica & Chandler,1
223,10,5,Ross & Rachel,Ross & Rachel,1
223,10,5,Ross,Ross & Charlie,1
223,10,5,Rachel & Joey,Rachel & Joey,4
223,10,5,Monica & Chandler,Monica & Chandler,3
223,10,5,Phoebe,Phoebe & Mike,3
224,10,6,Ross,Ross & Charlie,4
224,10,6,Rachel & Joey,Rachel & Joey,4
224,10,6,Monica & Chandler,Monica & Chandler,1
224,10,6,Phoebe,Phoebe & Mike,1
225,10,7,Ross & Rachel,Ross & Rachel,2
225,10,7,Ross,Ross & Charlie,1
225,10,7,Rachel & Joey,Rachel & Joey,1
225,10,7,Monica & Chandler,Monica & Chandler,6
225,10,7,Phoebe,Phoebe & Mike,3
226,10,8,Rachel & Joey,Rachel & Joey,1
226,10,8,Monica & Chandler,Monica & Chandler,5
227,10,9,Rachel & Joey,Rachel & Joey,1
227,10,9,Monica & Chandler,Monica & Chandler,9
228,10,10,Monica & Chandler,Monica & Chandler,6
228,10,10,Phoebe,Phoebe & Mike,1
229,10,11,Ross & Rachel,Ross & Rachel,1
229,10,11,Monica & Chandler,Monica & Chandler,1
230,10,12,Rachel & Joey,Rachel & Joey,1
230,10,12,Monica & Chandler,Monica & Chandler,1
230,10,12,Phoebe,Phoebe & Mike,2
231,10,13,Ross & Rachel,Ross & Rachel,4
231,10,13,Rachel & Joey,Rachel & Joey,2
231,10,13,Monica & Chandler,Monica & Chandler,2
232,10,14,Rachel & Joey,Rachel & Joey,1
232,10,14,Monica & Chandler,Monica & Chandler,9
232,10,14,Phoebe,Phoebe & Mike,4
233,10,15,Ross & Rachel,Ross & Rachel,2
233,10,15,Rachel & Joey,Rachel & Joey,1
233,10,15,Monica & Chandler,Monica & Chandler,5
233,10,15,Chandler,Chandler & Janice,2
234,10,16,Ross & Rachel,Ross & Rachel,2
234,10,16,Rachel & Joey,Rachel & Joey,2
234,10,16,Monica & Chandler,Monica & Chandler,3
234,10,16,Monica,Monica & Richard,1
235,10,17,Ross & Rachel,Ross & Rachel,2
235,10,17,Rachel & Joey,Rachel & Joey,1
